City_ID,City_ID,city,country,latitude,longitude,Maximum_temperature,percent_humidity,percent_cloudiness,wind_speed,description
601,601,Tabou,CI,4.423,-7.3528,24.35,84,71,2.87,light rain
604,604,Ndioum,SN,16.5129,-14.6471,26.94,71,100,7.15,overcast clouds
605,605,Maţāy,EG,28.419,30.7792,25.52,49,0,3.2,clear sky
607,607,Tumaco,CO,1.7986,-78.8156,24.76,90,78,2.62,moderate rain
608,608,Mala Tokmachka,UA,47.5356,35.8929,23.31,65,32,3.37,scattered clouds
611,611,Pitimbu,BR,-7.4706,-34.8086,23.33,85,4,4.02,clear sky
612,612,Moussoro,TD,13.6408,16.4901,25.51,78,100,2.21,overcast clouds
621,621,Pizarro,CO,4.9533,-77.366,25.68,84,81,1.56,light rain
623,623,Alexandria,EG,31.2156,29.9553,25.98,83,0,1.54,clear sky
625,625,Nechí,CO,8.0942,-74.7757,24.2,99,100,0.59,overcast clouds
627,627,Balsas,BR,-7.5325,-46.0356,24.4,40,0,1.42,clear sky
629,629,Santa Rosa,PH,14.3122,121.1114,28.84,86,98,5.78,overcast clouds
632,632,Khāsh,IR,28.2211,61.2158,30.61,10,96,2.61,overcast clouds
636,636,Bela,IN,25.9333,81.9833,29.61,75,100,3.61,overcast clouds
637,637,Santarém,BR,-2.4431,-54.7083,24.07,100,0,0.0,clear sky
639,639,Benjamin Constant,BR,-4.3831,-70.0311,24.07,79,30,0.7,scattered clouds
643,643,Lucea,JM,18.451,-78.1736,27.92,82,55,4.25,broken clouds
644,644,Elizabeth City,US,36.2946,-76.2511,25.03,96,1,2.57,clear sky
645,645,Bandiagara,ML,14.3501,-3.6104,26.24,72,73,3.65,broken clouds
649,649,Zimovniki,RU,47.1483,42.4633,24.9,42,25,1.95,scattered clouds
651,651,Gouré,NE,13.9835,10.2704,23.9,72,96,3.03,overcast clouds
655,655,The Valley,AI,18.217,-63.0578,27.92,75,2,8.24,clear sky
656,656,Nicoya,CR,10.1483,-85.452,24.75,91,100,1.01,overcast clouds
662,662,Chabahar,IR,25.2919,60.643,30.9,74,100,3.72,overcast clouds
668,668,Glen Allen,US,37.666,-77.5064,25.64,85,1,1.79,clear sky
672,672,Matara,LK,5.9485,80.5353,28.43,77,89,5.99,overcast clouds
673,673,Buchanan,LR,5.8808,-10.0467,24.53,75,96,2.75,overcast clouds
674,674,Anori,BR,-3.7728,-61.6442,23.51,67,4,1.17,clear sky
675,675,Port Blair,IN,11.6667,92.75,28.81,81,100,8.33,overcast clouds
676,676,Tabas,IR,33.5959,56.9244,31.27,15,0,4.91,clear sky
679,679,Sirte,LY,31.2089,16.5887,26.05,69,0,3.54,clear sky
680,680,Parrita,CR,9.5201,-84.3225,28.88,87,100,1.26,overcast clouds
682,682,Fonte Boa,BR,-2.4959,-66.2662,24.53,80,65,0.76,broken clouds
686,686,Nioro,GM,13.35,-15.75,24.0,88,100,2.29,overcast clouds
687,687,Buraidah,SA,26.326,43.975,28.25,15,67,2.17,broken clouds
690,690,Hickory,US,35.7332,-81.3412,25.82,91,1,0.91,clear sky
695,695,Mouzourás,GR,35.5333,24.15,28.57,73,0,0.0,clear sky
701,701,Nhamundá,BR,-2.1861,-56.7131,26.24,59,78,1.05,broken clouds
706,706,Lebrija,ES,36.9208,-6.0753,24.91,71,0,1.58,clear sky
707,707,Eydhafushi,MV,5.1033,73.0708,28.2,74,100,5.57,overcast clouds
710,710,Nísia Floresta,BR,-6.0911,-35.2086,24.21,93,14,2.6,few clouds
711,711,Leninsk,RU,48.7119,45.1994,24.76,29,57,2.71,broken clouds
713,713,Bajil,YE,15.0584,43.2851,30.9,58,69,1.9,broken clouds
717,717,Novo Aripuanã,BR,-5.1206,-60.3797,23.47,53,5,1.29,clear sky
721,721,Waddān,LY,29.1614,16.139,23.19,60,0,1.63,clear sky
724,724,Dāmghān,IR,36.1683,54.348,25.2,51,0,4.82,clear sky
725,725,Turbat,PK,26.0023,63.044,31.12,67,100,2.65,overcast clouds
